name,bouts,KOs
SAUL ALVAREZ,62,62.9
DMITRII BIVOL,20,55
TERENCE CRAWFORD,38,76.32
GENNADIY GOLOVKIN,45,82.22
OLEKSANDR USYK,20,65
ANTHONY JOSHUA,27,81.48
ERROL SPENCE JR,28,78.57
NAOYA INOUE,23,86.96
SHAKUR STEVENSON,18,50
DEONTAY WILDER,45,91.11
ANDY RUIZ,37,59.46
GERVONTA DAVIS,27,92.59
ARTUR BETERBIEV,18,100
JOSH TAYLOR,19,68.42
JERMELL CHARLO,37,51.35
STEPHEN FULTON,21,38.1
DILLIAN WHYTE,31,61.29
YORDENIS UGAS,32,37.5
REY VARGAS,36,61.11
DEVIN HANEY,28,53.57
JOSEPH PARKER,32,65.63
GEORGE KAMBOSOS JNR,21,47.62
JOSE CARLOS RAMIREZ,28,60.71
JUAN FRANCISCO ESTRADA,46,60.87
JAI OPETAIA,22,77.27
ROMAN GONZALEZ,54,75.93
MAIRIS BRIEDIS,30,66.67
SEBASTIAN FUNDORA,20,65
ILUNGA JUNIOR MAKABU,31,80.65
TEOFIMO LOPEZ,18,72.22
VERGIL ORTIZ JR,19,100
GILBERTO RAMIREZ,44,68.18
VASYL LOMACHENKO,18,61.11
LUIS ORTIZ,38,73.68
LAWRENCE OKOLIE,18,77.78
BRANDON FIGUEROA,25,72
NONITO DONAIRE,49,57.14
JARON ENNIS,30,90
MAGOMED KURBANOV,23,56.52
EMANUEL NAVARRETE,37,81.08
BRIAN CARLOS CASTANO,20,60
KAZUTO IOKA,31,48.39
MARK MAGSAYO,25,64
OSCAR VALDEZ,31,74.19
CALLUM SMITH,30,70
CODY CROWLEY,21,42.86
DEMETRIUS ANDRADE,31,61.29
CHRIS EUBANK JR,34,67.65
JOHN RYDER,36,47.22
JACK CATTERALL,27,48.15
JOE SMITH JR,32,68.75
KEITH THURMAN,32,68.75
DANIEL JACOBS,41,73.17
GARY ALLEN RUSSELL JR,33,54.55
SANDOR MARTIN,42,30.95
DEREK CHISORA,45,51.11
JAIME MUNGUIA,40,80
KUBRAT PULEV,32,43.75
ISAAC CRUZ,27,62.96
THABISO MCHUNU,29,44.83
SHAVKATDZHON RAKHIMOV,17,76.47
DAVID BENAVIDEZ,26,88.46
TIM TSZYU,21,71.43
GARY ANTUANNE RUSSELL,16,100
LIAM SMITH,36,52.78
O'SHAQUIE FOSTER,21,52.38
MAURICIO LARA,27,62.96
JOE JOYCE,14,92.86
JOSEPH DIAZ,35,42.86
LEIGH WOOD,28,57.14
HECTOR LUIS GARCIA,19,52.63
ISRAIL MADRIMOV,9,66.67
GUSTAVO DANIEL LEMOS,28,64.29
MICHAEL HUNTER,23,60.87
JESSE RODRIGUEZ,17,64.71
JOE CORDINA,15,60
REGIS PROGRAIS,28,82.14
JEREMIA NAKATHILA,25,76
JOSE ZEPEDA,39,69.23
JOSH WARRINGTON,33,24.24
ISAAC DOGBOE,26,57.69
JOSE PEDRAZA,34,41.18
JEAN PASCAL,44,45.45
SUNNY EDWARDS,18,22.22
KENSHIRO TERAJI,20,55
DILMUROD SATYBALDIEV,15,26.67
RYAN GARCIA,23,82.61
CONOR BENN,21,66.67
ARNOLD BARBOZA JR,27,37.04
DANNY GARCIA,40,52.5
EIMANTAS STANIONIS,15,60
MURODJON AKHMADALIEV,11,72.73
MARTIN BAKOLE,19,68.42
LUIS NERY,33,72.73
CARLOS ADAMES,22,72.73
SERGIY DEREVYANCHENKO,18,55.56
JESSE HART,31,70.97
RICHARD COMMEY,35,77.14
MICHAEL ZERAFA,34,55.88
REIYA ABE,27,37.04
DAVID AVANESYAN,33,51.52
ZAUR ABDULLAEV,17,58.82
SHUICHIRO YOSHINO,15,73.33
ERICKSON LUBIN,26,65.38
JOSHUA BUATSI,16,81.25
SUBRIEL MATIAS,19,94.74
ALEXIS ROCHA,21,61.9
ERISLANDY LARA,35,48.57
JOET GONZALEZ,28,53.57
FRANK SANCHEZ,21,61.9
YUNIEL DORTICOS,27,85.19
JAMAINE ORTIZ,17,47.06
RADZHAB BUTAEV,16,68.75
ZELFA BARRETT,29,55.17
MARCUS BROWNE,26,61.54
RA'EESE ALEEM,20,60
MARLON TAPALES,39,48.72
ZHANIBEK ALIMKHANULY,12,66.67
SERGEY KOVALEV,40,72.5
KOSEI TANAKA,18,55.56
CALEB PLANT,22,54.55
MONTANA LOVE,19,47.37
LERRONE RICHARDS,16,18.75
TONY HARRISON,33,63.64
PANYA PRADABSRI,40,57.5
FERNANDO DANIEL MARTINEZ,14,57.14
JUNTO NAKATANI,23,78.26
CARLOS GONGORA,22,72.73
SERGEY LIPINETS,20,65
THAMMANOON NIYOMTRONG,24,37.5
TAKUMA INOUE,17,17.65
JEREMIAS NICOLAS PONCE,30,66.67
ALBERTO PUELLO,21,47.62
PAVEL SILYAGIN,11,45.45
VIKTOR POSTOL,35,34.29
MICHAEL MCKINSON,23,8.7
THULANI MBENGE,20,75
OTTO WALLIN,26,53.85
CARLOS CASTRO,29,41.38
KIKO MARTINEZ,56,53.57
ANTHONY YARDE,24,87.5
WISAKSIL WANGEK,57,75.44
JACK CULCAY,35,37.14
EDGAR BERLANGA,20,80
KENICHI OGAWA,30,60
FILIP HRGOVIC,15,80
MASAYOSHI NAKATANI,22,63.64
RASHIDI ELLIS,24,62.5
CUSTIO CLAYTON,21,57.14
DONNIE NIETES,51,45.1
MEIIRIM NURSULTANOV,17,58.82
RUBEN VILLA,20,30
LIAM WILSON,12,58.33
ALI AKHMEDOV,20,70
JONO CARROLL,25,28
TONY YOKA,12,75
ALI EREN DEMIREZEN,18,66.67
ABASS BARAOU,13,61.54
OHARA DAVIES,26,65.38
GIOVANNI CABRERA,21,33.33
ARSLANBEK MAKHMUDOV,15,93.33
SAM EGGINGTON,39,46.15
MASAMICHI YABUKI,18,72.22
YOSHIMITSU KIMURA,17,52.94
MATHIEU BAUDERLIQUE,23,52.17
SHO ISHIDA,34,47.06
JAMAL JAMES,29,41.38
ROBERT HELENIUS,34,58.82
RICHARDSON HITCHINS,14,42.86
KRZYSZTOF GLOWACKI,35,57.14
DANIEL DUBOIS,19,89.47
CHRISTIAN MBILLI,22,90.91
KID GALAHAD,30,56.67
FELIX CASH,15,66.67
TROY WILLIAMSON,20,70
KEITA KURIHARA,23,60.87
RICARDO NUNEZ,26,80.77
BRANDUN LEE,26,84.62
MICHEL RIVERA,23,60.87
DANIELITO ZORRILLA,17,70.59
MICHAEL CONLAN,18,44.44
LIAM PARO,22,59.09
ROBEISY RAMIREZ,11,54.55
AZIZBEK ABDUGOFUROV,15,33.33
ROBSON CONCEICAO,18,44.44
ROLANDO ROMERO,15,80
ABEL RAMOS,34,61.76
JESUS ALEJANDRO RAMOS,19,78.95
LEO SANTA CRUZ,41,46.34
ARGI CORTES,28,35.71
MAXI HUGHES,32,15.63
KUDRATILLO ABDUKAKHOROV,19,52.63
LAMONT ROACH,25,36
BLAIR COBBS,18,55.56
HINATA MARUTA,15,60
JAMES DICKENS,35,34.29
TERRELL GAUSHA,26,42.31
CHRIS KONGO,15,46.67
LUKE SANTAMARIA,17,41.18
LUIS ALBERTO LOPEZ,28,53.57
JESSIE VARGAS,35,31.43
BADOU JACK,33,48.48
MIGUEL BERCHELT,41,82.93
DAVID PAPOT,27,14.81
ALEKSEI PAPIN,15,86.67
VINCENT FEIGENBUTZ,38,81.58
RYOTA MURATA,19,68.42
ANDY HIRAOKA,21,76.19
LINDOLFO DELGADO,16,81.25
VLADIMIR SHISHKIN,13,61.54
CESAR FRANCIS,11,54.55
GARY ANTONIO RUSSELL,20,60
VINCENT ASTROLABIO,20,60
EMMANUEL RODRIGUEZ,23,56.52
MURAT GASSIEV,31,70.97
WILLIAM ZEPEDA SEGURA,26,88.46
OSCAR RIVAS,29,65.52
WILLIAM SCULL,19,47.37
CHRIS COLBERT,17,35.29
CARLOS OCAMPO,35,62.86
MATEUSZ MASTERNAK,51,60.78
ERIK BAZINYAN,28,75
MARIO BARRIOS,28,60.71
JERWIN ANCAJAS,37,59.46
JUAN MACIAS MONTIEL,30,76.67
JOSE UZCATEGUI,36,75
WILLIAM FOSTER III,16,56.25
RONNY RIOS,37,43.24
AZINGA FUZILE,18,55.56
DENYS BERINCHYK,16,56.25
BOTIRZHON AKHMEDOV,11,72.73
AGUSTIN EZEQUIEL QUINTANA,19,63.16
CHRIS BILLAM-SMITH,17,64.71
GUILLERMO RIGONDEAUX,24,54.17
JASON MOLONEY,26,73.08
JOE NOYNAY,24,33.33
FEDOR CHUDINOV,29,58.62
JORGE LINARES,54,53.7
GIOVANI SANTILLAN,30,53.33
ESQUIVA FALCAO,30,66.67
XAVIER MARTINEZ,19,63.16
RICHARD RIAKPORHE,15,73.33
SOULEYMANE CISSOKHO,15,60
FANLONG MENG,18,55.56
HEKKIE BUDLER,38,26.32
REYMART GABALLO,25,80
ANGEL AYALA LARDIZABAL,15,46.67
ROBBIE DAVIES JR,26,57.69
ZACH PARKER,22,72.73
DENNIS HOGAN,35,20
SHAKHRAM GIYASOV,13,69.23
ISTVAN SZILI,30,46.67
EDUARDO BAEZ,26,26.92
AUSTIN WILLIAMS,12,75
CRAIG RICHARDS,21,47.62
MUHAMMADKHUJA YAQUBOV,20,50
ISMAEL BARROSO,29,75.86
TED CHEESEMAN,21,47.62
ARTEM DALAKIAN,21,71.43
JEISON ROSARIO,27,62.96
JOSE BENAVIDEZ JR,30,60
KAREN CHUKHADZHIAN,22,50
MACIEJ SULECKI,32,34.38
RANCES BARTHELEMY,33,45.45
ARAM FANIIAN,23,17.39
KEVIN LERENA,29,48.28
MASATAKA TANIGUCHI,19,57.89
GARY CULLY,14,57.14
CHAYAPHON MOONSRI,59,32.2
EDWIN DE LOS SANTOS,16,87.5
JAVIER FORTUNA,44,59.09
CHRISTOPHER DIAZ,31,54.84
LYNDON ARTHUR,21,66.67
ANDRES CORTES,18,55.56
HIROTO KYOGUCHI,16,68.75
PAUL BUTLER,36,41.67
