name,bouts,KO %
ROAMER ALEXIS ANGULO,27,81.5
ALFREDO ANGULO,30,63.3
EFETOBOR APOCHI,3,100
FRED APOSTOLI,72,43.1
STEVE AQUILINA,22,27.3
IGNACIO ARA,191,33.7
ART ARAGON,116,53.4
DANIJEL ARANDELOVIC,1,0
FERNANDO JAVIER ARAUJO,1,0
GEORGE ARAUJO,68,48.5
BRUNO ARCARI,73,52.1
LUCAS DAMIAN ARCE,1,0
DANIELA ARENA,3,0
LUCAS ARGANARAZ,1,0
LUCAS RAMON ARGANARAZ,5,40
MELVIN ARGUEDAS ARGUEDAS,1,0
ALEXIS ARGUELLO,85,72.9
LUIS ARIAS,21,40.9
JOHN ARMIJO,28,35.7
HENRY ARMSTRONG,181,55.8
RICARDO ARREDONDO,100,57
BRIAN AGUSTIN ARREGUI,4,75
CHRIS ARREOLA,45,70.2
WALTER PEANUTS ARSENAULT,48,10.4
FIRAT ARSLAN,60,55
ANDY AARON ARTEAGA,1,0
LINDA KAREN ASENCIO,1,0
FRANK ATU,30,53.3
EMANUEL AUGUSTUS,78,25.6
CAMILA AVACA,3,0
DAVID AVANESYAN,28,43.3
ARUTYUN AVETISYAN,8,75
LEONEL EDUARDO AVILA,5,20
FEDERICO NAHUEL AVILA,1,100
MAXIMILIANO AVILA,3,0
GASTON AYALA,8,12.5
PATIMA AYSHALOVA,1,0
AMADO AZAR,66,33.3
GUSTAVO MARTIN BACHELLA,1,0
NICOLAS EDUARDO BAEZ,1,0
MARCELO ALEJANDRO BAEZ,1,0
LEONARDO BAEZ,7,42.9
EDUARDO BAEZ,4,0
GUIDO BAGNASCO,1,0
MARKLIN BAILEY,5,60
JIMMY BAKER,35,28.6
JAIME BALBOA,94,64.9
JUAN DAVID BALBUENA,4,50
CARLOS MANUEL BALDOMIR,71,21.1
D'MITRIUS BALLARD,8,55.6
ADAM BALSKI,12,66.7
FUNSO BANJO,18,33.3
WAYNE BANNISTER,23,52.2
CHARLES BAOU,39,71.8
DAVID BAPTISTE,30,16.7
IVAN BARANCHYK,21,59.1
ABASS BARAOU,10,60
ARNOLD BARBOZA JR,23,38.5
PAMELA BARKER,7,42.9
IRAN BARKLEY,63,42.9
LARRY BARNES,47,35.4
SULLIVAN BARRERA,25,56
MARCO ANTONIO BARRERA,74,58.7
ZELFA BARRETT,1,0
CESAR MIGUEL BARRIONUEVO,42,56.8
MARIO BARRIOS,24,66.7
ISMAEL BARROSO,26,77.8
RANCES BARTHELEMY,30,45.2
ZAUR ABDULLAEV,9,50
QUDRATILLO ABDUQAXOROV,18,52.6
ELNUR ABDURAIMOV,1,100
REIYA ABE,19,42.1
ARTHUR ABRAHAM,53,56.6
VICTOR ABRAHAM,39,20.5
GEORGIE ABRAMS,61,14.8
JOSE HUGO ACEVEDO,14,57.1
BRUNO HERNAN ACOSTA,1,100
JESUS ALBERTO ACOSTA CARREON,1,0
CARLOS ADAMES,1,100
BRANDON ADAMS,24,54.2
SIMON PIERRE ADDE,1,0
SIMON ESTEBAN AGATI,1,0
JOSEPH AGBEKO,41,63.4
PEDRO AGOSTO,44,50
LORENA EDITH AGOUTBORDE,7,14.3
AILEN AGROBERT,2,0
JOSUE FRANCISCO AGUERO,1,100
WALTER IVAN AGUILAR,3,0
IAN AGUILERA,2,0
LUCAS AGUILERA,1,0
MARIANNE AHLBORG,3,0
IVAN ISRAEL AIBAR,4,0
PRINCE BADI AJAMU,31,48.4
RYO AKAHO,37,56.8
MURODJON AKHMADALIEV,8,66.7
SADRIDDIN AKHMEDOV,10,90
YOMAR ALAMO,6,83.3
ALEXIS EZEQUIEL ALANIS,4,50
GABRIELA CELESTE ALANIZ,13,38.5
DODOY ALAPORMINA,25,0
EDUARDO DARIO ALCAPAN,1,0
CRISTIAN FACUNDO ALCARAZ,12,50
IMMANUWEL ALEEM,23,47.8
RAEESE ALEEM,5,40
OLIAN ALEXANDER,34,52.9
LARRY ALEXANDER,46,48.9
DEVON ALEXANDER,35,40
MIKHAIL ALEXEEV,10,30
SANTOS ALFARO,1,0
CHRIS ALGIERI,27,33.3
MUHAMMAD ALI,61,60.7
SADAM ALI,30,46.7
DANIEL ALICEA,39,56.4
TERRENCE ALLI,69,30
EVERLIDES ESTER ALTAMAR,5,0
CHRIS ALVARADO,19,31.6
RENE ALVARADO,40,52.5
ARMANDO ALVAREZ,22,54.5
SAUL ALVAREZ,57,63.2
ERICA JUANA GABRIELA ALVAREZ,6,0
ELEIDER ALVAREZ,27,48.1
ALEX AMADOR,57,10.5
LOU AMBERS,106,26.4
LEONARDO FABIO AMITRANO,21,28.6
JONATHAN AMITRANO,2,0
DEREK AMOS,43,20.9
HENRY ANAYA JR.,21,52.4
JERWIN ANCAJAS,35,62.9
BRIAN ANDERSON,39,35.9
TIM ANDERSON,44,29.5
CHRISTIAN NICOLAS ANDINO,18,10.5
DEMETRIUS ANDRADE,29,60
ROMAN ANDREEV,22,68.2
JEVGENIJS ANDREJEVS,71,4.2
WALLY ANGLISS,21,4.8
SAMMY ANGOTT,131,16.8
CARMEN BASILIO,79,34.2
JOSE BASORA,105,41.5
FIDEL BASSA,24,62.5
PERCY BASSETT,77,53.2
HOGAN KID BASSEY,74,28.4
YOLIMAR DEL VALLE BASTARDO,1,0
MATHIEU BAUDERLIQUE,19,52.6
SANTIAGO BAZAN,2,0
MALIK BAZILLE,5,0
ERIK BAZINYAN,24,70.8
OWEN BECK,42,47.6
KENDALL BEJARANO MIRANDA,1,0
CONSTANTIN BEJENARU,8,22.2
TIMEA BELIK,8,12.5
ROSCOE BELL,74,17.6
ALBERT BELL,7,14.3
TONY BELLEW,34,58.8
STEVE BELLOISE,111,53.2
MIKE BELLOISE,132,15.9
RAYMUNDO BELTRAN,46,46.8
JOSE BENAVIDEZ,28,64.3
VICTORIA BENAVIDEZ,5,0
ALFREDO GASTON BENAVIDEZ,4,50
DAVID BENAVIDEZ,23,87
MOHAMED BENGUESMIA,44,75
CONOR BENN,15,64.7
NICKY BENTZ,45,64.4
NINO BENVENUTI,90,38.9
ANISSA BENYOUB,1,0
TREVOR BERBICK,61,54.1
MIGUEL BERCHELT,39,85
JACK 'KID' BERG,192,31.8
DENYS BERINCHYK,13,53.8
EDGAR BERLANGA,4,60
VICTOR JOSE BERRIO,1,0
ANDRE BERTO,38,61.5
MARIANO JORGE BERTOLA,4,0
ARTUR BETERBIEV,15,93.8
MELIO BETTINA,100,36
MICKEY BEY,26,37
BOBBY BICKLE,53,51.9
VICTOR BISBAL,26,61.5
JIMMY BIVINS,112,27.7
DMITRY BIVOL,17,64.7
LENNOX BLACKMOORE,30,46.7
ALEX BLANCHARD,48,68.8
